word;ua_word;date;week_date;month_date;level
able;в стані, здатний, спроможний ;1677793580.9010684;1.0;1.0;3.0
about;про ;1677793592.81875;1677879992.81875;1.0;5.0
above;вище, вищезгаданий ;1677793603.9583871;1677880003.9583871;1.0;5.0
accept;приймати, погоджувати, визнавати;1677793615.4320436;1677880015.4320436;1.0;5.0
account;рахунок, звіт, звітувати ;1677793623.534507;1.0;1.0;4.0
across;через, поперек ;1677793631.6669722;1.0;1.0;4.0
act;діяти, акт ;1677793638.9843907;1.0;1.0;4.0
action;дія, акція, діяльність ;1677793645.754778;1.0;1.0;4.0
activity;діяльність ;1677793662.1137135;1.0;1.0;4.0
add;додавати ;1677793680.3167546;1.0;1.0;4.0
address;адреса ;1677793686.996137;1.0;1.0;4.0
afraid;наляканий, зляканий ;1677793694.095543;1.0;1.0;4.0
after;після ;1677793726.0503705;1.0;1.0;4.0
afternoon;день ;1677793733.682807;1.0;1.0;4.0
again;знову ;1677793740.537199;1.0;1.0;4.0
against;проти ;1677793747.1075747;1.0;1.0;4.0
age;вік, епоха, старіти ;1677793753.805958;1.0;1.0;4.0
ago;"тому (наприклад, ""2 роки тому"") ";1677793761.2253823;1.0;1.0;4.0
agree;погоджуватися ;1677793771.1189485;1.0;1.0;4.0
ahead;попереду, попереджуючий ;1677793777.8563335;1.0;1.0;4.0
air;повітря, провітрювати ;1677793786.8878503;1.0;1.0;4.0
airplane;літак ;1677793793.3412194;1.0;1.0;4.0
all;все, всі ;1677793800.3946228;1.0;1.0;4.0
allow;дозволяти ;1677793807.197012;1.0;1.0;4.0
almost;майже ;1677793816.2365289;1.0;1.0;3.0
alone;тільки, сам, самотній ;1677793823.0329175;1.0;1.0;3.0
along;по, вздовж ;1677793831.3143914;1.0;1.0;3.0
already;вже, раніше ;1677793839.123838;1.0;1.0;3.0
also;також ;1677793846.3722525;1.0;1.0;3.0
although;хоча ;1677793856.4108267;1.0;1.0;3.0
always;завжди ;1677793892.5818956;1.0;1.0;3.0
among;серед, між ;1677793899.5392935;1.0;1.0;3.0
amount;кількість, становити ;1677793909.599869;1.0;1.0;3.0
and;та ;1677793921.372542;1.0;1.0;3.0
angry;сердитий ;1677793929.6920185;1.0;1.0;3.0
animal;тварина ;1677793938.0624971;1.0;1.0;3.0
another;інший, ще ;1677793944.499865;1.0;1.0;3.0
answer;відповідь, відповісти ;1677793952.1863048;1.0;1.0;3.0
any;будь-якиай ;1677793960.392774;1.0;1.0;3.0
anyone;будь- який, хтось, будь-хто ;1677794162.9623606;1.0;1.0;3.0
anything;що-небудь, щось ;1677794180.0223362;1.0;1.0;3.0
appear;з'являтися, з'явитися, показуватися;1677794187.2177477;1.0;1.0;3.0
apple;яблуко ;1677794194.9171882;1.0;1.0;3.0
approach;підхід, наближення, підходити ;1677794203.233664;1.0;1.0;3.0
april;квітень ;1677794213.3642433;1.0;1.0;3.0
area;площа, район, ділянка, галузь ;1677794219.826613;1.0;1.0;3.0
arm;"плече, рука; озброювати, озброюватися";1677794228.0140812;1.0;1.0;3.0
arms;зброя ;1677794235.5515122;1.0;1.0;3.0
army;армія ;1677794243.9489925;1.0;1.0;3.0
around;навколо, близько ;1677794251.2594106;1.0;1.0;3.0
arrive;приходити, прибувати ;1677794258.223809;1.0;1.0;3.0
art;мистецтво ;1677794266.0332556;1.0;1.0;3.0
article;стаття, предмет ;1677794273.047657;1.0;1.0;3.0
as;як ;1677794280.8701043;1.0;1.0;3.0
ask;запитати, попросити ;1677794288.6445491;1.0;1.0;3.0
at;в, на ;1677794296.3289888;1.0;1.0;3.0
attack;напад, атака ;1677794303.0933754;1.0;1.0;3.0
attempt;спроба, намагатися ;1677794311.9798837;1.0;1.0;3.0
attention;увага ;1677794320.511372;1.0;1.0;3.0
august;серпень ;1677794327.350763;1.0;1.0;3.0
autumn;осінь ;1677794345.6078072;1.0;1.0;3.0
away;геть, далеко ;1677794355.326363;1.0;1.0;3.0
back;тому, спина ;1677794365.097922;1.0;1.0;3.0
bad;поганий ;1677794375.1194952;1.0;1.0;3.0
bag;мішок, торба, багаж ;1677794381.920884;1.0;1.0;3.0
ball;м'яч, куля, бал, танці ;1677794388.4172556;1.0;1.0;2.0
bank;банк ;1677794395.164642;1.0;1.0;2.0
bar;"бар, паб; брусок, стойка ";1677794404.2661622;1.0;1.0;2.0
base;база, основа ;1677794416.1208403;1.0;1.0;2.0
basic;"основний, початковий,
фундаментальний";1677794424.0722952;1.0;1.0;1.0
"be (am, been,
were, are, was, is)";бути ;1.0;1.0;1.0;1.0
bear;"ведмідь; нести, переносити ";1.0;1.0;1.0;1.0
beautiful;красивий ;1.0;1.0;1.0;1.0
because;тому що ;1.0;1.0;1.0;1.0
become;стати ;1.0;1.0;1.0;1.0
bed;ліжко ;1.0;1.0;1.0;1.0
before;до, перед ;1.0;1.0;1.0;1.0
begin;почати ;1.0;1.0;1.0;1.0
began;почав ;1.0;1.0;1.0;1.0
beginning;початок ;1.0;1.0;1.0;1.0
behind;за, позаду ;1.0;1.0;1.0;1.0
believe;вірити, довіряти ;1.0;1.0;1.0;1.0
belong;належати (комусь), бути власністю;1.0;1.0;1.0;1.0
below;нижче, під ;1.0;1.0;1.0;1.0
best;кращий ;1.0;1.0;1.0;1.0
